Filename	IOU	F1	Score
1491.png	0.0000	0.0000	0.00
2609.png	0.5097	0.6752	59.25
2741.png	0.7298	0.8438	78.68
2850.png	0.6017	0.7513	67.65
2927.png	0.7685	0.8691	81.88
3136.png	0.0783	0.1453	11.18
3532.png	0.3814	0.5522	46.68
3937.png	0.5819	0.7357	65.88
4109.png	0.6540	0.7908	72.24
4349.png	0.6597	0.7950	72.73
5044.png	0.6835	0.8120	74.78
5232.png	0.8491	0.9184	88.38
5609.png	0.8594	0.9244	89.19
5866.png	0.6992	0.8230	76.11
5873.png	0.4567	0.6271	54.19
5918.png	0.3679	0.5379	45.29
5927.png	0.7386	0.8497	79.41
6103.png	0.5163	0.6810	59.87
6228.png	0.8852	0.9391	91.22
6381.png	0.7470	0.8552	80.11
6479.png	0.8588	0.9240	89.14
6538.png	0.7977	0.8875	84.26
6630.png	0.8527	0.9205	88.66
6639.png	0.7170	0.8352	77.61
6785.png	0.7084	0.8293	76.89
0207.png	0.4451	0.6161	53.06
0262.png	0.6029	0.7522	67.76
0346.png	0.3067	0.4694	38.81
0410.png	0.3380	0.5052	42.16
0823.png	0.3851	0.5561	47.06
0983.png	0.2367	0.3828	30.97
1145.png	0.0000	0.0000	0.00
1697.png	0.0000	0.0000	0.00
2665.png	0.7603	0.8638	81.21
2974.png	0.5542	0.7131	63.37
3038.png	0.0635	0.1194	9.14
3109.png	0.5445	0.7051	62.48
3201.png	0.5306	0.6933	61.20
3429.png	0.8730	0.9322	90.26
3694.png	0.7472	0.8553	80.13
3734.png	0.4123	0.5839	49.81
3744.png	0.5409	0.7021	62.15
4170.png	0.5901	0.7422	66.62
4278.png	0.4338	0.6051	51.95
4299.png	0.6380	0.7790	70.85
4363.png	0.0009	0.0019	0.14
4806.png	0.7178	0.8357	77.68
4813.png	0.8706	0.9308	90.07
5303.png	0.4352	0.6065	52.09
5329.png	0.5194	0.6836	60.15
5707.png	0.5854	0.7385	66.19
5738.png	0.3978	0.5692	48.35
6027.png	0.5303	0.6930	61.17
6166.png	0.5659	0.7228	64.44
6173.png	0.6556	0.7920	72.38
6187.png	0.8144	0.8977	85.61
6305.png	0.0178	0.0349	2.63
6423.png	0.6280	0.7715	69.98
6512.png	0.0000	0.0000	0.00
6548.png	0.4632	0.6332	54.82
6577.png	0.5153	0.6801	59.77
6583.png	0.6176	0.7636	69.06
7815.png	0.3641	0.5338	44.89
0419.png	0.0120	0.0237	1.78
0687.png	0.4765	0.6454	56.09
0800.png	0.5083	0.6740	59.12
0954.png	0.6564	0.7925	72.45
1027.png	0.4599	0.6300	54.49
1166.png	0.0000	0.0000	0.00
1333.png	0.0000	0.0000	0.00
1423.png	0.0000	0.0000	0.00
1577.png	0.0000	0.0000	0.00
1676.png	0.0000	0.0000	0.00
1737.png	0.0000	0.0000	0.00
2679.png	0.6472	0.7858	71.65
2738.png	0.7808	0.8769	82.88
2961.png	0.7240	0.8399	78.20
3007.png	0.6918	0.8178	75.48
3306.png	0.6369	0.7782	70.76
3589.png	0.1989	0.3318	26.53
3595.png	0.8362	0.9108	87.35
3688.png	0.5994	0.7496	67.45
3702.png	0.4647	0.6346	54.96
3717.png	0.0000	0.0000	0.00
3806.png	0.1280	0.2269	17.74
3813.png	0.3209	0.4859	40.34
4420.png	0.8008	0.8894	84.51
4561.png	0.7078	0.8289	76.84
4568.png	0.6537	0.7906	72.21
4825.png	0.5570	0.7155	63.62
5316.png	0.6905	0.8169	75.37
5552.png	0.7019	0.8248	76.33
5698.png	0.8045	0.8917	84.81
6192.png	0.6935	0.8190	75.63
6251.png	0.0053	0.0105	0.79
6554.png	0.6703	0.8026	73.65
6649.png	0.7105	0.8307	77.06
6993.png	0.5093	0.6749	59.21
7001.png	0.0000	0.0000	0.00
0163.png	0.4686	0.6382	55.34
0176.png	0.4329	0.6042	51.85
0292.png	0.0000	0.0000	0.00
0332.png	0.0000	0.0000	0.00
0555.png	0.3455	0.5136	42.96
0683.png	0.7109	0.8310	77.09
1154.png	0.0000	0.0000	0.00
1187.png	0.0000	0.0000	0.00
1583.png	0.0000	0.0000	0.00
1640.png	0.0000	0.0000	0.00
1808.png	0.0000	0.0000	0.00
2646.png	0.6830	0.8116	74.73
2698.png	0.7955	0.8861	84.08
2720.png	0.7691	0.8695	81.93
2965.png	0.6753	0.8062	74.08
3016.png	0.4116	0.5831	49.74
3029.png	0.7259	0.8412	78.36
3157.png	0.6913	0.8175	75.44
3278.png	0.5817	0.7356	65.86
3553.png	0.6105	0.7582	68.43
3561.png	0.4928	0.6603	57.65
3598.png	0.1886	0.3173	25.30
3685.png	0.4429	0.6139	52.84
3975.png	0.4896	0.6573	57.34
4153.png	0.7280	0.8426	78.53
4174.png	0.5863	0.7392	66.27
4269.png	0.8860	0.9396	91.28
4302.png	0.6548	0.7914	72.31
4956.png	0.4865	0.6545	57.05
5169.png	0.7029	0.8256	76.43
5279.png	0.4360	0.6072	52.16
5335.png	0.6450	0.7842	71.46
5338.png	0.7936	0.8849	83.92
5439.png	0.5691	0.7254	64.72
5642.png	0.4916	0.6592	57.54
5657.png	0.7341	0.8467	79.04
